traiteur_code;emp_code;poste;salaire;heure_travail
TRT001;EMP001;Cuisinier;95000.0;7
TRT001;EMP002;Serveur;65000.0;6
TRT002;EMP003;Cuisinier;98000.0;10
TRT002;EMP004;Serveur;72000.0;10
TRT002;EMP005;Plongeur;50000.0;9
TRT004;EMP006;Cuisinier;105000.0;8
TRT006;EMP007;Serveur;68000.0;6
TRT006;EMP008;Plongeur;48000.0;5
TRT007;EMP009;Cuisinier;110000.0;11
TRT007;EMP010;Serveur;70000.0;11
TRT007;EMP011;Plongeur;52000.0;10
TRT009;EMP012;Cuisinier;92000.0;8
TRT009;EMP013;Serveur;64000.0;8
TRT010;EMP014;Cuisinier;108000.0;10
TRT010;EMP015;Serveur;75000.0;9
TRT010;EMP016;Plongeur;54000.0;10
TRT012;EMP017;Cuisinier;102000.0;6
TRT013;EMP018;Serveur;66000.0;8
TRT013;EMP019;Plongeur;51000.0;7
TRT016;EMP020;Cuisinier;100000.0;7
TRT020;EMP001;Serveur;70000.0;9
TRT020;EMP002;Plongeur;49000.0;8
TRT021;EMP003;Cuisinier;96000.0;6
TRT022;EMP004;Cuisinier;107000.0;11
TRT022;EMP005;Serveur;71000.0;10
TRT022;EMP006;Plongeur;53000.0;9
TRT024;EMP007;Cuisinier;93000.0;8
TRT024;EMP008;Serveur;67000.0;7
TRT025;EMP009;Plongeur;50000.0;5
TRT026;EMP010;Cuisinier;109000.0;12
TRT026;EMP011;Serveur;74000.0;11
TRT026;EMP012;Plongeur;55000.0;10
TRT029;EMP013;Cuisinier;94000.0;9
TRT029;EMP014;Serveur;69000.0;9
TRT030;EMP015;Cuisinier;103000.0;7
TRT031;EMP016;Cuisinier;111000.0;10
TRT031;EMP017;Serveur;76000.0;9
TRT031;EMP018;Plongeur;56000.0;8
TRT032;EMP019;Cuisinier;97000.0;8
TRT032;EMP020;Serveur;68000.0;8
TRT034;EMP001;Cuisinier;104000.0;6
TRT035;EMP002;Cuisinier;106000.0;11
TRT035;EMP003;Serveur;73000.0;10
TRT035;EMP004;Plongeur;51000.0;9
TRT038;EMP005;Cuisinier;99000.0;9
TRT038;EMP006;Serveur;72000.0;8
TRT039;EMP007;Plongeur;50000.0;5
TRT041;EMP008;Cuisinier;112000.0;12
TRT041;EMP009;Serveur;77000.0;11
TRT041;EMP010;Plongeur;57000.0;10
TRT042;EMP011;Cuisinier;91000.0;8
TRT042;EMP012;Serveur;65000.0;7
TRT043;EMP013;Cuisinier;101000.0;6
TRT044;EMP014;Serveur;71000.0;9
TRT044;EMP015;Plongeur;52000.0;8
TRT047;EMP016;Cuisinier;89000.0;7
TRT049;EMP017;Cuisinier;113000.0;10
TRT049;EMP018;Serveur;78000.0;9
TRT049;EMP019;Plongeur;58000.0;9
TRT052;EMP020;Cuisinier;98000.0;8
TRT052;EMP001;Serveur;69000.0;7
TRT053;EMP002;Cuisinier;90000.0;6
TRT055;EMP003;Serveur;73000.0;10
TRT055;EMP004;Plongeur;53000.0;9
TRT056;EMP005;Cuisinier;114000.0;8
